LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,RPUlux SMD,,,TOTAL,
,,,,,,12/2/17 (17323^0),,,=SUM(J5:J100),
,,,,,,,,,,
1,C1,1,C-C,1206X5R50V106K,TDK@C3216X5R1H106K160AB,CAP CER 10UF 50V 10% X5R 1206,(1),.3575,=C5*I5,CC01
2,C2 C4 C10 C24 C25 C26 C29,7,C-C,0603X7R50V104K,TDK@C1608X7R1H104K080AA,CAP CER 0.1UF 50V 10% X7R 0603,(1),0.0055,=C6*I6,ADPT
3,C3 C17 C18 C22 C23,5,C-C,0603X7R50V103K,MURATA@GRM188R71H103KA01J,CAP CER 10000PF 50V 10% X7R 0603,(1),0.007,=C7*I7,HT
4,C5 C7 C8 C9 C12 C14 C16,7,C-C,0805X7R50V105K,TAIYO@UMK212B7105KG-T,CAP CER 1UF 50V 10% X7R 0805,(1),0.136,=C8*I8,CC01
5,C6,1,C-T,106A,AVX@TPSA106K010R0900,CAP TANT 10UF 10V 10% ESR .9OHM 1206,(1),0.3575,=C9*I9,ADPT
6,C11 C13 C15 C19 C20 C21,6,C-C,0805X7R50V475K,TAIYO@UMK316AB7475KL-T,CAP CER 4.7UF 50V 10% X7R 1206,(1),0.115,=C10*I10,FTDI
7,C27 C28,2,C-C,0603NPO50V270J,SAMSUNG@CL10C270JB8NNNC,CAP CER 27PF 50V 5% NPO 0603,(1),0.0067,=C11*I11,RPUNO
8,D1 D3 D4 D5 D6 D7 D8,7,D-SBR,SQ4,DIODES@SBR2A40SA,DIODE SBR 40V 2A SMA,(1),0.289,=C12*I12,CC01
9,D9,1,D-GP,T4,DIODES@1N4148W-7-F,DIODE SWITCH 100V 0.15A SOD123,(1),0.0601,=C13*I13,CC01
10,L1 L2 L3 L4 L5 L6,6,L-PSMD,33UH1A1,TAIYO_YUDEN@NR6028T330M,INDUCTOR POWER SHIELDED 33UH 1A1 SMD,(1),0.3096,=C14*I14,LUX
11,L7,0,L-FB,MH2029-300Y,BORNS@MH2029-300Y,FERRITE SMDBEAD 30OHM@100MHZ 3A 0805,(1),0.0272,=C15*I15,ADPT
12,Q1 Q6 Q10 Q16 Q20,5,Q-NPN,K1N,DIODES@MMBT3904-7-F,TRANSISTOR NPN GP 40V 200MA SOT23,(1),0.0204,=C16*I16,IRRIGATE7
13,Q2 Q4 Q8,3,Q-PCH,P65,DIODES@DMP4065S-7,MOSFET P-CH 2.4A 40V SOT23,(1),0.2196,=C17*I17,PUNICA
14,Q3 Q9 Q11 Q17 Q19 Q22 Q23,7,Q-NCH,K38,DIODES@BSS138-7-F,MOSFET N-CH 200MA 50V SOT23,(1),0.1132,=C18*I18,ADPT
15,Q5 Q7 Q12 Q13 Q18 Q24,6,Q-PNP,K3N,DIODES@MMBT3906-7-F,TRANSISTOR PNP GP 40V 200MA SOT23,(1),0.0204,=C19*I19,HT
16,Q14 Q15,2,Q-NCH,34N,DIODES@DMN3404L-7,MOSFET N-CH 5.8A 30V SOT23,(1),0.1351,=C20*I20,IRRIGATE7
17,R1 R11 R14 R15,4,R-C,0805KX1003,YAGEO@RC0805FR-07100KL,RESISTOR CHIP 1% 100KOHM 0805,(1),0.0025,=C21*I21,IRRIGATE7
18,R2 R16 R38,3,R-C,0805KX4992,YAGEO@RC0805FR-0749K9L,RESISTOR CHIP 1% 49K9OHM 0805,(1),0.0064,=C22*I22,IRRIGATE7
19,R3 R8 R9 R27 R28 R39 R40 R41,8,R-C,0805KX1002,YAGEO@RC0805FR-0710KL,RESISTOR CHIP 1% 10KOHM 0805,(1),0.0025,=C23*I23,ADPT
20,R4,1,R-C,0805KX1001,YAGEO@RC0805FR-071KL,RESISTOR CHIP 1% 1KOHM 0805,(1),0.0025,=C24*I24,HT
21,R5 R36,2,R-C,0805FX1003,YAGEO@RT0805BRD07100KL,RESISTOR CHIP 0.1% 100KOHM 0805,(1),0.1277,=C25*I25,LUX
22,R6 R35,2,R-C,0805KX1582,YAGEO@RC0805FR-0715K8L,RESISTOR CHIP 1% 15K8OHM 0805,(1),0.0064,=C26*I26,IRRIGATE7
